stock_id,stock_name,close,volume,turnover,date,liquidity_level,liquidity_tag,liquidity_score
1464,得力,10.0,339.343,3393430.0000000005,2026-04-30,BLOCK,流動性不足,41.12
1465,偉全,12.1,48.391,585531.1,2026-04-30,BLOCK,流動性不足,15.19
1466,聚隆,16.3,191.164,3115973.1999999997,2026-04-30,BLOCK,流動性不足,35.52
1467,南緯,7.12,599.084,4265478.08,2026-04-30,MEDIUM,中流動性,47.74
1468,昶和,12.05,47.001,566362.0499999999,2026-04-30,BLOCK,流動性不足,14.91
1470,大統新創,22.5,9.065,203962.49999999997,2026-04-29,BLOCK,流動性不足,4.38
1471,首利,11.3,701.159,7923096.7,2026-04-30,MEDIUM,中流動性,52.93
1472,三洋實業,89.3,30.135,2691055.5,2026-04-30,BLOCK,流動性不足,20.97
1473,台南,21.25,351.834,7476472.5,2026-04-30,MEDIUM,中流動性,46.51
1474,弘裕,10.0,80.946,809460.0,2026-04-30,BLOCK,流動性不足,20.13
1475,業旺,27.85,17.401,484617.85000000003,2026-04-30,BLOCK,流動性不足,8.83
1476,儒鴻,334.5,1328.985,444545482.5,2026-04-30,HIGH,高流動性,78.88
1477,聚陽,211.5,1336.076,282580074.0,2026-04-30,HIGH,高流動性,77.12
1503,士電,189.5,1542.099,292227760.5,2026-04-30,HIGH,高流動性,78.47
1504,東元,62.4,24879.96,1552509504.0,2026-04-30,HIGH,高流動性,94.73
1506,正道,10.8,99.046,1069696.8000000003,2026-04-30,BLOCK,流動性不足,23.41
1512,瑞利,7.48,28.922,216336.56000000003,2026-04-30,BLOCK,流動性不足,8.91
1513,中興電,148.5,4297.141,638125438.4999999,2026-04-30,HIGH,高流動性,86.97
1514,亞力,110.0,1809.249,199017390.0,2026-04-30,HIGH,高流動性,77.56
1515,力山,21.9,221.189,4844039.1,2026-04-30,BLOCK,流動性不足,39.87
1516,川飛,21.45,50.962,1093134.9,2026-04-30,BLOCK,流動性不足,18.09
1517,利奇,10.4,84.423,877999.2000000001,2026-04-30,BLOCK,流動性不足,20.84
1519,華城,888.0,2812.385,2497397880.0000005,2026-04-30,HIGH,高流動性,88.14
1521,大億,24.85,14.326,356001.10000000003,2026-04-30,BLOCK,流動性不足,6.84
1522,堤維西,30.95,1013.932,31381195.400000002,2026-04-30,MEDIUM,中流動性,65.24
1524,耿鼎,28.15,399.45,11244517.5,2026-04-30,MEDIUM,中流動性,51.07
1525,江申,63.3,83.307,5273333.1,2026-04-30,BLOCK,流動性不足,32.72
1526,日馳,16.35,102.798,1680747.3000000003,2026-04-30,BLOCK,流動性不足,26.49
1527,鑽全,32.5,128.312,4170140.0000000005,2026-04-30,BLOCK,流動性不足,34.3
1528,恩德,28.8,29672.988,854582054.4,2026-04-30,HIGH,高流動性,93.44
1529,樂事綠能,21.7,374.67,8130339.0,2026-04-30,MEDIUM,中流動性,47.71
1530,亞崴,26.45,15.331,405504.94999999995,2026-04-30,BLOCK,流動性不足,7.56
1531,高林股,12.95,132.715,1718659.25,2026-04-30,BLOCK,流動性不足,28.55
1532,勤美,20.85,934.378,19481781.3,2026-04-30,MEDIUM,中流動性,61.68
1533,車王電,32.5,204.852,6657690.000000001,2026-04-30,BLOCK,流動性不足,41.12
1535,中宇,50.9,41.877,2131539.3,2026-04-30,BLOCK,流動性不足,21.25
1536,和大,51.5,2814.239,144933308.5,2026-04-30,HIGH,高流動性,78.37
1537,廣隆,123.0,88.219,10850937.0,2026-04-30,BLOCK,流動性不足,38.63
1538,正峰,13.35,1.249,16674.15,2026-04-30,BLOCK,流動性不足,0.97
1539,巨庭,16.15,31.308,505624.19999999995,2026-04-30,BLOCK,流動性不足,11.96
1540,喬福,20.95,262.724,5504067.8,2026-04-30,BLOCK,流動性不足,42.26
1541,錩泰,23.95,60.166,1440975.7,2026-04-30,BLOCK,流動性不足,21.02
1558,伸興,92.2,56.487,5208101.4,2026-04-30,BLOCK,流動性不足,29.49
1560,中砂,540.0,3535.036,1908919440.0,2026-04-30,HIGH,高流動性,88.88
1563,巧新,41.45,341.12,14139424.0,2026-04-30,MEDIUM,中流動性,50.92
1565,精華,103.5,60.936,6306876.0,2026-04-30,BLOCK,流動性不足,31.32
1568,倉佑,28.5,257.852,7348781.999999999,2026-04-30,BLOCK,流動性不足,43.74
1569,濱川,57.8,2488.587,143840328.59999996,2026-04-30,HIGH,高流動性,77.61
1570,力肯,37.65,249.913,9409224.45,2026-04-30,MEDIUM,中流動性,45.55
1580,新麥,123.0,50.106,6163038.0,2026-04-30,BLOCK,流動性不足,29.85
1582,信錦,88.6,1957.551,173439018.6,2026-04-30,HIGH,高流動性,77.66
1583,程泰,46.6,16.048,747836.7999999999,2026-04-30,BLOCK,流動性不足,10.25
1584,精剛,19.6,442.035,8663886.0,2026-04-30,MEDIUM,中流動性,49.85
1586,和勤,21.7,259.469,5630477.3,2026-04-30,BLOCK,流動性不足,42.26
1587,吉茂,31.7,393.697,12480194.9,2026-04-30,MEDIUM,中流動性,51.45
1589,,5.539999961853027,0.0,0.0,2026-04-24,BLOCK,流動性不足,0.33
1590,亞德客-KY,1455.0,2744.949,3993900795.0,2026-04-30,HIGH,高流動性,88.93
1591,駿吉-KY,64.9,2667.862,173144243.8,2026-04-30,HIGH,高流動性,79.19
1593,祺驊,31.3,38.326,1199603.8,2026-04-30,BLOCK,流動性不足,16.9
1595,川寶,72.8,5208.66,379190448.0,2026-04-30,HIGH,高流動性,85.93
1597,直得,143.5,4524.62,649282970.0,2026-04-30,HIGH,高流動性,87.28
1598,岱宇,20.8,476.997,9921537.600000001,2026-04-30,MEDIUM,中流動性,51.86
1599,宏佳騰,25.15,33.227,835659.0499999998,2026-04-30,BLOCK,流動性不足,14.07
1603,華電,31.9,227.043,7242671.7,2026-04-30,BLOCK,流動性不足,42.57
1604,聲寶,22.9,157.659,3610391.099999999,2026-04-30,BLOCK,流動性不足,35.04
1605,華新,30.15,16582.155,499951973.24999994,2026-04-30,HIGH,高流動性,90.64
1608,華榮,32.7,2291.333,74926589.10000001,2026-04-30,MEDIUM,中流動性,74.53
1609,大亞,32.2,2657.496,85571371.2,2026-04-30,HIGH,高流動性,76.08
1611,中電,11.95,421.895,5041645.25,2026-04-30,MEDIUM,中流動性,45.78
1612,宏泰,35.65,787.418,28071451.7,2026-04-30,MEDIUM,中流動性,62.21
1614,三洋電,31.85,30.42,968877.0000000001,2026-04-30,BLOCK,流動性不足,14.3
1615,大山,45.7,104.11,4757827.0,2026-04-30,BLOCK,流動性不足,34.05
1616,億泰,22.15,357.052,7908701.8,2026-04-30,MEDIUM,中流動性,47.18
1617,榮星,15.0,122.792,1841880.0,2026-04-30,BLOCK,流動性不足,28.37
1618,合機,38.5,664.038,25565463.0,2026-04-30,MEDIUM,中流動性,60.53
1623,大東電,239.0,97.762,23365118.0,2026-04-30,BLOCK,流動性不足,44.33
1626,艾美特-KY,11.35,193.215,2192990.25,2026-04-30,BLOCK,流動性不足,33.16
1702,南僑,35.1,431.696,15152529.600000001,2026-04-30,MEDIUM,中流動性,53.84
1704,,53.09999847412109,0.0,0.0,2019-01-29,BLOCK,流動性不足,0.33
1707,葡萄王,112.5,241.208,27135900.0,2026-04-30,MEDIUM,中流動性,52.26
1708,東鹼,41.8,5919.003,247414325.39999998,2026-04-30,HIGH,高流動性,84.61
1709,和益,18.65,390.771,7287879.149999999,2026-04-30,MEDIUM,中流動性,47.25
1710,東聯,13.0,4296.489,55854357.0,2026-04-30,HIGH,高流動性,76.77
1711,永光,56.5,5779.202,326524913.0,2026-04-30,HIGH,高流動性,85.95
1712,興農,42.2,856.321,36136746.2,2026-04-30,MEDIUM,中流動性,64.4
1713,國化,46.3,644.148,29824052.400000002,2026-04-30,MEDIUM,中流動性,61.27
1714,和桐,9.4,3757.127,35316993.800000004,2026-04-30,HIGH,高流動性,73.49
1717,長興,78.9,52724.023,4159925414.700001,2026-04-30,HIGH,高流動性,97.94
1718,中纖,6.55,4072.047,26671907.849999998,2026-04-30,HIGH,高流動性,72.44
1720,生達,61.0,170.765,10416664.999999998,2026-04-30,BLOCK,流動性不足,43.41
1721,三晃,24.2,3069.232,74275414.39999999,2026-04-30,HIGH,高流動性,76.16
1722,台肥,50.7,41863.198,2122464138.6000001,2026-04-30,HIGH,高流動性,96.36
1723,中碳,78.3,558.962,43766724.599999994,2026-04-30,MEDIUM,中流動性,62.42
1725,元禎,31.0,153.797,4767707.0,2026-04-30,BLOCK,流動性不足,36.95
1726,永記,75.6,14.514,1097258.4,2026-04-30,BLOCK,流動性不足,11.55
1727,中華化,81.5,28077.14,2288286910.0,2026-04-30,HIGH,高流動性,95.95
1730,花仙子,52.5,28.525,1497562.5,2026-04-30,BLOCK,流動性不足,16.44
1731,美吾華,21.65,43.007,931101.5499999998,2026-04-30,BLOCK,流動性不足,16.16
1732,毛寶,25.8,73.721,1902001.8000000003,2026-04-30,BLOCK,流動性不足,24.58
1733,五鼎,28.55,78.09,2229469.5,2026-04-30,BLOCK,流動性不足,26.31
1734,杏輝,31.5,267.358,8421777.0,2026-04-30,MEDIUM,中流動性,45.27
1735,日勝化,27.2,1645.282,44751670.4,2026-04-30,MEDIUM,中流動性,70.13
1736,喬山,122.0,931.387,113629214.0,2026-04-30,HIGH,高流動性,70.61
1737,臺鹽,31.85,68.237,2173348.45,2026-04-30,BLOCK,流動性不足,24.73
1742,台蠟,15.9,7.003,111347.7,2026-04-30,BLOCK,流動性不足,3.26
1752,南光,33.5,98.245,3291207.5,2026-04-30,BLOCK,流動性不足,30.94
1760,寶齡富錦,68.2,972.46,66321772.000000015,2026-04-30,MEDIUM,中流動性,68.68
1762,中化生,28.25,94.365,2665811.2499999995,2026-04-30,BLOCK,流動性不足,29.08
