date,stock_id,close,volume,source_type,stage,main_force_score,accumulation_score,control_score,structure_score,test_move_score,pre_breakout_score,note
2026-04-24,1712,42.0,658831,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1713,47.1,162574,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1714,9.63,4622308,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1717,77.6,58027017,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1718,6.64,4398327,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1720,60.9,260387,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1721,27.3,7801494,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1722,44.4,2689753,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1723,81.0,483803,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1725,31.9,287867,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1726,76.4,9855,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1727,70.7,24145751,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1730,52.5,38266,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1731,21.8,56955,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1732,25.7,60518,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1733,28.8,129388,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1734,31.65,210703,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1735,28.1,1807440,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1736,111.0,590253,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1737,31.6,101803,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1752,35.0,40073,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1760,63.3,151747,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1762,27.9,80373,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1773,175.5,3926634,latest_price_panel_stock_snapshot,,,,,,,,
