signal_date,trade_date,market_rows,candidate_rows,selected_count,breadth,avg_mom_5d,gross_exposure,cash_mode,risk_on,daily_ret,holdings,nav,cum_return,drawdown
2026-03-09,2026-03-10,264,234,12,26,-0.05759523641907382,0.35,True,False,-0.0017284729659305753,12,90742.47795788484,-0.09257522042115163,-0.1056544809584562
2026-03-10,2026-03-11,264,236,12,29,-0.03899493069336676,0.35,True,False,0.007667295349776791,12,91438.22733715855,-0.08561772662841449,-0.09879726971921532
2026-03-11,2026-03-12,263,235,12,157,0.017932600078050944,0.35,True,False,0.001924468692816337,12,91614.19734299554,-0.0838580265700446,-0.09706293327890925
2026-03-12,2026-03-13,264,233,12,97,0.0011385096068870736,0.35,True,False,0.005897631183796884,12,92154.5040901241,-0.07845495909875899,-0.09173774347720898
2026-03-13,2026-03-16,264,233,12,74,-0.008895208336806947,0.35,True,False,0.006667082249211051,12,92768.90574852821,-0.07231094251471792,-0.0856822843091175
2026-03-16,2026-03-17,264,234,12,155,0.033846080904972195,0.8,False,True,0.01747069659003757,12,94389.64315385053,-0.05610356846149478,-0.06970851691138602
2026-03-17,2026-03-18,264,236,12,161,0.037315037637758605,0.8,False,True,0.0033873220736341026,12,94709.371275628,-0.05290628724372004,-0.06655732003580617
2026-03-18,2026-03-19,264,236,12,132,0.02279877242215506,0.35,True,False,-0.00448573018416727,12,94284.53059017341,-0.0571546940982659,-0.07074449204051159
2026-03-19,2026-03-20,264,235,12,118,0.018553652408230974,0.35,True,False,-0.020512371670461788,12,92350.53125593274,-0.07649468744067256,-0.08980572639660045
2026-03-20,2026-03-23,264,236,12,130,0.0204322176069311,0.35,True,False,-0.013975721591603717,12,91059.86594226313,-0.0894013405773687,-0.1025263481587535
2026-03-23,2026-03-24,264,235,12,67,-0.00394419588498906,0.35,True,False,-0.006956604231654675,12,90426.39849351528,-0.09573601506484719,-0.10876971716295081
2026-03-24,2026-03-25,263,235,12,55,-0.01885666884991066,0.35,True,False,0.008762646458428084,12,91218.7730540229,-0.08781226945977105,-0.10096018128140494
2026-03-25,2026-03-26,264,236,12,59,-0.01649185866663296,0.35,True,False,0.002641118629406858,12,91459.6926548875,-0.08540307345112497,-0.09858571046760867
2026-03-26,2026-03-27,264,235,12,91,-0.01039417800432583,0.35,True,False,0.015376103193653096,12,92865.98632720884,-0.07134013672791162,-0.0847254713315253
2026-03-27,2026-03-30,264,235,12,87,-0.009428465686465937,0.35,True,False,-0.008568559802200575,12,92070.25856977381,-0.07929741430226189,-0.09256805586585204
2026-03-30,2026-03-31,265,235,12,117,0.003257653716951508,0.35,True,False,0.006044772272560912,12,92626.8023159039,-0.073731976840961,-0.0870828364107138
2026-03-31,2026-04-01,265,234,12,74,-0.011533428622548119,0.35,True,False,-0.007461577748583656,12,91935.66022882109,-0.08064339771178919,-0.09389463880485183
2026-04-01,2026-04-02,265,234,12,91,-0.005252506625145576,0.35,True,False,0.005089779131958709,12,92403.59243373657,-0.0759640756626343,-0.08928276264608503
2026-04-02,2026-04-07,265,234,12,68,-0.012940572673464379,0.35,True,False,-0.005800291288688967,12,91867.6246814996,-0.08132375318500407,-0.09456518790436785
2026-04-07,2026-04-08,264,234,12,76,-0.014809980552493308,0.35,True,False,-0.005487615471170517,12,91363.49048299772,-0.08636509517002289,-0.09953386598736014
2026-04-08,2026-04-09,263,234,12,132,0.00404523205021574,0.35,True,False,0.0,12,91363.49048299772,-0.08636509517002289,-0.09953386598736014
