engine,signal_date,trade_date,symbol,market,signal_close,mom_5d,std_5d,trade_ret,weight_engine,weight_portfolio,wret,capital_after_trade,cash_mode
A,2026-02-24,2026-02-25,2317,TWSE,232.0,0.0790697674418605,0.0076122734517867,0.0625,0.1012100821619028,0.0607260492971417,0.0037953780810713,98552.18982311014,False
A,2026-02-24,2026-02-25,2337,TWSE,113.5,0.4047029702970297,0.0402986732955206,-0.0484581497797357,0.0946069398892287,0.0567641639335372,-0.0027506863580128,98552.18982311014,False
A,2026-02-25,2026-02-26,1101,TWSE,26.55,0.0452755905511812,0.0046590241425274,-0.0056497175141243,0.1412363228137385,0.0847417936882431,-0.0004787671959787,99196.75267908498,False
A,2026-02-25,2026-02-26,1225,TWSE,29.4,0.0352112676056337,0.0024948292916999,0.0102040816326531,0.2979130758996778,0.1787478455398067,0.001823957607549,99196.75267908498,False
A,2026-02-25,2026-02-26,1457,TWSE,16.1,0.0769230769230771,0.0108800490685605,-0.0062111801242237,0.0747583608014974,0.0448550164808984,-0.0002786025868378,99196.75267908498,False
A,2026-02-25,2026-02-26,2101,TWSE,36.0,0.0465116279069768,0.0062583393581582,-0.0125,0.0826062649546613,0.0495637589727968,-0.0006195469871599,99196.75267908498,False
A,2026-02-25,2026-02-26,2102,TWSE,20.7,0.069767441860465,0.0083465777269474,0.0072463768115942,0.1044953278138996,0.0626971966883398,0.0004543275122343,99196.75267908498,False
A,2026-02-25,2026-02-26,2107,TWSE,25.7,0.0321285140562248,0.0038351736846302,0.0058365758754863,0.1049588932249647,0.0629753359349788,0.0003675603264687,99196.75267908498,False
A,2026-02-25,2026-02-26,2362,TWSE,40.05,0.0722891566265058,0.0086730655484068,-0.0124843945068664,0.1038984865040924,0.0623390919024555,-0.00077826581651,99196.75267908498,False
A,2026-02-25,2026-02-26,2404,TWSE,1035.0,0.1525612472160356,0.0196519558999686,0.0917874396135265,0.0901332679874678,0.0540799607924807,0.0049638611355417,99196.75267908498,False
A,2026-02-26,2026-03-02,1225,TWSE,29.7,0.0348432055749128,0.0023665199377218,0.0976430976430977,0.2621215040440627,0.1572729024264376,0.015356613368238,103374.06267109532,False
A,2026-02-26,2026-03-02,1802,TWSE,61.1,0.427570093457944,0.0443265435529458,0.099836333878887,0.1125055724225198,0.0675033434535119,0.0067392863349659,103374.06267109532,False
A,2026-02-26,2026-03-02,2013,TWSE,43.45,0.0495169082125603,0.0045984912046049,-0.0069044879171462,0.1402049277179761,0.0841229566307856,-0.0005808259376118,103374.06267109532,False
A,2026-02-26,2026-03-02,2102,TWSE,20.85,0.0747422680412372,0.0069509579972703,0.0095923261390886,0.139807425506955,0.0838844553041729,0.0008046470532774,103374.06267109532,False
A,2026-02-26,2026-03-02,2323,TWSE,11.25,0.1138613861386139,0.0129976702621901,-0.0044444444444444,0.0927916683463096,0.0556750010077857,-0.0002474444489234,103374.06267109532,False
A,2026-02-26,2026-03-02,2338,TWSE,49.2,0.4491899852724594,0.0485064321643043,0.0995934959349593,0.1036927985828238,0.0622156791496942,0.0061962769884858,103374.06267109532,False
A,2026-02-26,2026-03-02,2360,TWSE,1380.0,0.3269230769230768,0.0417186074157287,0.0978260869565217,0.0742537985934673,0.0445522791560803,0.0043583751348339,103374.06267109532,False
A,2026-02-26,2026-03-02,2404,TWSE,1130.0,0.2444933920704846,0.0311226347743132,-0.0486725663716813,0.0746223047858854,0.0447733828715312,-0.0021792354494993,103374.06267109532,False
A,2026-03-02,2026-03-03,1215,TWSE,155.5,0.0471380471380471,0.0078672794123747,0.0032154340836012,4.7080907169536e-06,2.82485443017216e-06,9.083133215987562e-09,103068.15531938252,False
A,2026-03-02,2026-03-03,1471,TWSE,14.3,0.3240740740740739,0.0378586639099421,-0.0839160839160839,9.60967938807124e-06,5.765807632842745e-06,-4.838439971616292e-07,103068.15531938252,False
A,2026-03-02,2026-03-03,1708,TWSE,37.35,0.0625889046941678,0.0098825936091406,0.0200803212851405,5.2602168865298205e-06,3.1561301319178926e-06,6.337610706662445e-08,103068.15531938252,False
A,2026-03-02,2026-03-03,1802,TWSE,67.2,0.4282678002125399,0.0444021310356933,-0.0520833333333333,1.2200401053808622e-05,7.320240632285173e-06,-3.812625329315197e-07,103068.15531938252,False
A,2026-03-02,2026-03-03,2102,TWSE,21.05,0.0658227848101267,0.0069137635264483,-0.002375296912114,1.188705429228584e-05,7.132232575371504e-06,-1.6941170012758974e-08,103068.15531938252,False
A,2026-03-02,2026-03-03,2338,TWSE,54.1,0.6077265973254087,0.0002200884093631,-0.0036968576709797,0.999928869304374,0.5999573215826244,-0.0022179568265531,103068.15531938252,False
A,2026-03-02,2026-03-03,2360,TWSE,1515.0,0.4428571428571428,0.0335351089911267,-0.0792079207920791,2.2870662597341757e-05,1.3722397558405052e-05,-1.086922578883568e-06,103068.15531938252,False
A,2026-03-02,2026-03-03,2385,TWSE,126.0,0.0543933054393306,0.0091896177030938,0.0,4.594590691131648e-06,2.7567544146789884e-06,0.0,103068.15531938252,False
A,2026-03-03,2026-03-04,1215,TWSE,156.0,0.0505050505050506,0.0070031066837567,0.0032051282051281,0.1618020239940986,0.0970812143964591,0.0003111577384501,99896.94629811248,False
