engine,signal_date,trade_date,exit_date,symbol,market,signal_close,mom_5d,mom_20d,std_5d,trade_close,exit_close,trade_ret,weight_engine,weight_portfolio,wret
A,2026-02-24,2026-02-25,2026-03-02,1789,TWSE,21.5,-0.08119658119658113,-0.15851272015655582,0.019010600812860684,21.95,21.7,-0.011389521640091105,0.125,0.0375,-0.00042710706150341643
A,2026-02-24,2026-02-25,2026-03-02,1522,TWSE,44.0,-0.05274488697524227,-0.09465020576131689,0.03555199148374164,43.55,43.55,0.0,0.125,0.0375,0.0
A,2026-02-24,2026-02-25,2026-03-02,1256,TWSE,157.0,-0.048484848484848464,-0.05988023952095811,0.03401342151018244,155.5,160.0,0.02893890675241151,0.125,0.0375,0.0010852090032154316
A,2026-02-24,2026-02-25,2026-03-02,1445,TWSE,14.9,-0.04180064308681675,0.21138211382113825,0.012099385650136225,15.2,14.55,-0.042763157894736725,0.125,0.0375,-0.0016036184210526272
A,2026-02-24,2026-02-25,2026-03-02,1598,TWSE,19.3,-0.03740648379052369,-0.1187214611872145,0.009403179294423457,18.95,18.85,-0.005277044854881119,0.125,0.0375,-0.00019788918205804196
A,2026-02-24,2026-02-25,2026-03-02,2324,TWSE,29.65,-0.03420195439739415,-0.04508856682769735,0.016551917900497683,30.1,31.4,0.04318936877076407,0.125,0.0375,0.0016196013289036526
A,2026-02-24,2026-02-25,2026-03-02,1325,TWSE,29.05,-0.03166666666666662,-0.02680067001675046,0.016875410095346398,29.25,29.1,-0.00512820512820511,0.125,0.0375,-0.00019230769230769163
A,2026-02-25,2026-02-26,2026-03-03,1538,TWSE,23.8,-0.09160305343511443,-0.0984848484848484,0.03266054413793639,23.15,23.0,-0.00647948164146861,0.16666666666666666,0.049999999999999996,-0.00032397408207343045
A,2026-02-25,2026-02-26,2026-03-03,1522,TWSE,43.55,-0.0841219768664564,-0.14774951076320952,0.030307141371026667,44.0,42.7,-0.02954545454545443,0.16666666666666666,0.049999999999999996,-0.0014772727272727214
A,2026-02-25,2026-02-26,2026-03-03,1598,TWSE,18.95,-0.057213930348258835,-0.0976190476190476,0.008356336777466378,18.95,19.1,0.007915567282322122,0.16666666666666666,0.049999999999999996,0.0003957783641161061
A,2026-02-25,2026-02-26,2026-03-03,1231,TWSE,87.9,-0.05280172413793094,-0.07376185458377238,0.014243007211539305,86.5,85.4,-0.012716763005780285,0.16666666666666666,0.049999999999999996,-0.0006358381502890142
A,2026-02-25,2026-02-26,2026-03-03,2049,TWSE,225.0,-0.04458598726114649,0.02505694760820054,0.018334642292711954,230.0,247.0,0.07391304347826089,0.16666666666666666,0.049999999999999996,0.003695652173913044
A,2026-02-25,2026-02-26,2026-03-03,1789,TWSE,21.95,-0.04148471615720517,-0.16380952380952385,0.024887714832187775,21.4,21.0,-0.01869158878504662,0.16666666666666666,0.049999999999999996,-0.000934579439252331
A,2026-02-26,2026-03-02,2026-03-04,1538,TWSE,23.15,-0.12641509433962272,-0.12310606060606066,0.02801692480580943,23.0,21.7,-0.05652173913043479,0.125,0.0375,-0.0021195652173913045
A,2026-02-26,2026-03-02,2026-03-04,1522,TWSE,44.0,-0.07853403141361259,-0.15384615384615385,0.03148187603755969,43.55,40.9,-0.06084959816303093,0.125,0.0375,-0.0022818599311136595
A,2026-02-26,2026-03-02,2026-03-04,1231,TWSE,86.5,-0.06788793103448276,-0.08174097664543523,0.012973726635696918,85.8,82.7,-0.03613053613053607,0.125,0.0375,-0.0013548951048951026
A,2026-02-26,2026-03-02,2026-03-04,1563,TWSE,43.7,-0.06423982869379019,-0.08958333333333324,0.01649380206912939,43.45,42.9,-0.012658227848101333,0.125,0.0375,-0.0004746835443038
A,2026-02-26,2026-03-02,2026-03-04,1598,TWSE,18.95,-0.054862842892768104,-0.09546539379474939,0.009083313266406986,18.85,19.05,0.010610079575596787,0.125,0.0375,0.0003978779840848795
A,2026-02-26,2026-03-02,2026-03-04,1587,TWSE,43.3,-0.05043859649122817,-0.18609022556390986,0.01855859496071493,43.45,38.85,-0.10586881472957421,0.125,0.0375,-0.003970080552359033
A,2026-02-26,2026-03-02,2026-03-04,1442,TWSE,28.75,-0.04485049833887045,-0.043261231281198076,0.011282041905297099,28.75,27.15,-0.05565217391304356,0.125,0.0375,-0.0020869565217391333
