stock_id,stock_name,foreign_net_buy,trust_net_buy,dealer_net_buy,inst_net_buy,inst_buy_days,inst_valid,margin_balance,short_balance,margin_balance_change,short_balance_change,margin_valid,chip_market
1470,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,
1471,,72000.0,0.0,0.0,72000.0,1.0,1,0.0,0.0,0.0,0.0,0,TWSE
1472,,-10000.0,0.0,0.0,-10000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1473,台南,-54990.0,0.0,0.0,-54990.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1474,,-10000.0,0.0,0.0,-10000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1475,,-2000.0,0.0,0.0,-2000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1476,儒鴻,-282637.0,-126862.0,12549.0,-396950.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1477,聚陽,59593.0,643.0,31263.0,91499.0,1.0,1,0.0,0.0,0.0,0.0,0,TWSE
1503,,156005.0,0.0,40000.0,196005.0,1.0,1,0.0,0.0,0.0,0.0,0,TWSE
1504,東元,-9609023.0,-99584.0,502892.0,-9205715.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1506,,-7000.0,0.0,0.0,-7000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1512,,-3000.0,0.0,0.0,-3000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1513,中興電,-11042.0,-6160.0,51875.0,34673.0,1.0,1,0.0,0.0,0.0,0.0,0,TWSE
1514,,117328.0,0.0,7042.0,124370.0,1.0,1,0.0,0.0,0.0,0.0,0,TWSE
1515,,19000.0,0.0,0.0,19000.0,1.0,1,0.0,0.0,0.0,0.0,0,TWSE
1516,,18000.0,0.0,0.0,18000.0,1.0,1,0.0,0.0,0.0,0.0,0,TWSE
1517,,-17000.0,0.0,0.0,-17000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1519,華城,498979.0,-104651.0,8711.0,403039.0,1.0,1,0.0,0.0,0.0,0.0,0,TWSE
1521,,-4000.0,0.0,0.0,-4000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1522,堤維西,-23500.0,-255418.0,0.0,-278918.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1524,,-48000.0,0.0,0.0,-48000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1525,江申,-12000.0,0.0,17010.0,5010.0,1.0,1,0.0,0.0,0.0,0.0,0,TWSE
1526,,17000.0,0.0,0.0,17000.0,1.0,1,0.0,0.0,0.0,0.0,0,TWSE
1527,鑽全,27000.0,0.0,0.0,27000.0,1.0,1,0.0,0.0,0.0,0.0,0,TWSE
1528,,-4244000.0,0.0,0.0,-4244000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1529,,-19000.0,0.0,0.0,-19000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1530,,-6000.0,0.0,0.0,-6000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1531,高林股,-17000.0,0.0,0.0,-17000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1532,勤美,9000.0,-255338.0,0.0,-246338.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1533,,-25000.0,0.0,0.0,-25000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1535,中宇,-11000.0,0.0,0.0,-11000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1536,和大,448000.0,0.0,9165.0,457165.0,1.0,1,0.0,0.0,0.0,0.0,0,TWSE
1537,廣隆,22000.0,0.0,0.0,22000.0,1.0,1,0.0,0.0,0.0,0.0,0,TWSE
1538,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,
1539,,-1000.0,0.0,0.0,-1000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1540,,68000.0,0.0,0.0,68000.0,1.0,1,0.0,0.0,0.0,0.0,0,TWSE
1541,,-15000.0,0.0,0.0,-15000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1558,伸興,5000.0,-767.0,5010.0,9243.0,1.0,1,0.0,0.0,0.0,0.0,0,TWSE
1560,中砂,1216056.0,140000.0,21483.0,1377539.0,1.0,1,0.0,0.0,0.0,0.0,0,TWSE
1563,,18000.0,0.0,0.0,18000.0,1.0,1,0.0,0.0,0.0,0.0,0,TWSE
1565,,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0,TPEX
1568,,68000.0,0.0,0.0,68000.0,1.0,1,0.0,0.0,0.0,0.0,0,TWSE
1569,,54697.0,7169.0,-47528.0,14338.0,1.0,1,0.0,0.0,0.0,0.0,0,TPEX
1570,,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0,TPEX
1580,新麥,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0,TPEX
1582,信錦,-282006.0,0.0,13259.0,-268747.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1583,程泰,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1584,,5360.0,0.0,-5360.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0,TPEX
1586,,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0,TPEX
1587,,39000.0,0.0,0.0,39000.0,1.0,1,0.0,0.0,0.0,0.0,0,TWSE
1589,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,
1590,亞德客-KY,-11741.0,-53000.0,89151.0,24410.0,1.0,1,0.0,0.0,0.0,0.0,0,TWSE
1591,駿吉-KY,38513.0,3000.0,-35513.0,6000.0,1.0,1,0.0,0.0,0.0,0.0,0,TPEX
1593,,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0,TPEX
1595,川寶,13147.0,67273.0,39126.0,119546.0,1.0,1,0.0,0.0,0.0,0.0,0,TPEX
1597,,549000.0,0.0,8000.0,557000.0,1.0,1,0.0,0.0,0.0,0.0,0,TWSE
1598,岱宇,-91000.0,0.0,0.0,-91000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1599,,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0,TPEX
1603,,-63000.0,0.0,0.0,-63000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1604,,-30000.0,0.0,0.0,-30000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1605,華新,-3715090.0,-376000.0,445517.0,-3645573.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1608,,-250000.0,554970.0,3572.0,308542.0,1.0,1,0.0,0.0,0.0,0.0,0,TWSE
1609,大亞,6196.0,-4000.0,1096.0,3292.0,1.0,1,0.0,0.0,0.0,0.0,0,TWSE
1611,,-143000.0,0.0,0.0,-143000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1612,宏泰,-75000.0,250000.0,0.0,175000.0,1.0,1,0.0,0.0,0.0,0.0,0,TWSE
1614,三洋電,-9000.0,0.0,0.0,-9000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1615,大山,-15000.0,0.0,0.0,-15000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1616,,-79000.0,0.0,1.0,-78999.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1617,,-19000.0,0.0,0.0,-19000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1618,,-199000.0,0.0,100.0,-198900.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1623,,-6000.0,0.0,0.0,-6000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1626,,71000.0,0.0,0.0,71000.0,1.0,1,0.0,0.0,0.0,0.0,0,TWSE
1702,南僑,-126000.0,-150000.0,0.0,-276000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1704,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,
1707,葡萄王,-86000.0,0.0,5386.0,-80614.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1708,,775081.0,0.0,33343.0,808424.0,1.0,1,0.0,0.0,0.0,0.0,0,TWSE
1709,,-116000.0,0.0,0.0,-116000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1710,,-815000.0,0.0,2136.0,-812864.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
1711,,2672000.0,0.0,1000.0,2673000.0,1.0,1,0.0,0.0,0.0,0.0,0,TWSE
1712,興農,-209000.0,0.0,0.0,-209000.0,0.0,1,0.0,0.0,0.0,0.0,0,TWSE
