stock_id,stock_name,action,final_action,state_today_v26660,state_rank_today_v26660,state_transition_score_v26660,state_transition_label_v26660,state_transition_reason_v26660,ignition_upgrade_flag_v26660,chip_score,chip_signal,chip_reason,state_adjusted_score_v26660,memory_updated_at
6957,裕慶-KY,TEST,IGNITION,突破中,4,13,準IGNITION,前狀態:nan→今日:突破中｜狀態跳升｜具備點火條件,READY,17.0,主力吸籌,爆量不跌｜均線結構｜法人偏多,94.448,2026-08-29 05:50:47
1256,鮮活果汁-KY,TEST,IGNITION,觀察,0,0,持續觀察,首次追蹤:觀察,NO,0.0,一般,,81.139,2026-08-29 05:50:47
3308,聯德,WATCH,IGNITION,觀察,0,0,持續觀察,前狀態:nan→今日:觀察,NO,0.0,一般,,75.202,2026-08-29 05:50:47
1321,大洋,WATCH,IGNITION,突破中,4,13,準IGNITION,前狀態:nan→今日:突破中｜狀態跳升｜具備點火條件,READY,5.0,一般,均線結構,89.52,2026-08-29 05:50:47
6885,全福生技,WATCH,IGNITION,試盤中,3,11,升級觀察,首次追蹤:試盤中｜狀態跳升｜狀態轉強,WATCH_UP,12.0,一般,爆量不跌｜法人偏多,93.266,2026-08-29 05:50:47
4737,華廣,WATCH,IGNITION,吸籌中,1,5,持續觀察,前狀態:nan→今日:吸籌中｜狀態升級,NO,8.0,一般,爆量不跌,69.262,2026-08-29 05:50:47
2642,宅配通,WATCH,IGNITION,試盤中,3,11,升級觀察,前狀態:nan→今日:試盤中｜狀態跳升｜狀態轉強,WATCH_UP,12.0,一般,爆量不跌｜法人偏多,69.851,2026-08-29 05:50:47
1256,鮮活果汁-KY,TEST,IGNITION,觀察,0,0,持續觀察,首次追蹤:觀察,NO,0.0,一般,,81.139,2026-08-29 05:50:47
1321,大洋,WATCH,IGNITION,突破中,4,13,準IGNITION,前狀態:nan→今日:突破中｜狀態跳升｜具備點火條件,READY,5.0,一般,均線結構,89.52,2026-08-29 05:50:47
1521,大億,WATCH,IGNITION,觀察,0,0,持續觀察,前狀態:nan→今日:觀察,NO,0.0,一般,,66.072,2026-08-29 05:50:47
1521,大億,WATCH,IGNITION,觀察,0,0,持續觀察,前狀態:nan→今日:觀察,NO,0.0,一般,,66.072,2026-08-29 05:50:47
2313,華通,WATCH,TEST,試盤中,3,11,升級觀察,首次追蹤:試盤中｜狀態跳升｜狀態轉強,WATCH_UP,12.0,一般,爆量不跌｜法人偏多,93.635,2026-08-29 05:50:47
3037,欣興,WATCH,TEST,突破中,4,13,準IGNITION,首次追蹤:突破中｜狀態跳升｜具備點火條件,READY,9.0,一般,均線結構｜法人偏多,89.38,2026-08-29 05:50:47
3376,新日興,TEST,TEST,吸籌中,1,5,持續觀察,前狀態:nan→今日:吸籌中｜狀態升級,NO,8.0,一般,爆量不跌,91.779,2026-08-29 05:50:47
6257,矽格,TEST,TEST,試盤中,3,11,升級觀察,首次追蹤:試盤中｜狀態跳升｜狀態轉強,WATCH_UP,12.0,一般,爆量不跌｜法人偏多,96.485,2026-08-29 05:50:47
3017,奇鋐,WATCH,TEST,突破中,4,13,準IGNITION,首次追蹤:突破中｜狀態跳升｜具備點火條件,READY,9.0,一般,均線結構｜法人偏多,99.966,2026-08-29 05:50:47
6278,台表科,WATCH,TEST,觀察,0,0,持續觀察,首次追蹤:觀察,NO,0.0,一般,,76.945,2026-08-29 05:50:47
6456,GIS-KY,TEST,TEST,吸籌中,1,5,持續觀察,前狀態:nan→今日:吸籌中｜狀態升級,NO,8.0,一般,爆量不跌,92.476,2026-08-29 05:50:47
3576,聯合再生,WATCH,TEST,吸籌中,1,5,持續觀察,首次追蹤:吸籌中｜狀態升級,NO,8.0,一般,爆量不跌,74.739,2026-08-29 05:50:47
1727,中華化,WATCH,TEST,吸籌中,1,5,持續觀察,首次追蹤:吸籌中｜狀態升級,NO,8.0,一般,爆量不跌,97.273,2026-08-29 05:50:47
6672,騰輝電子-KY,WATCH,TEST,突破中,4,13,準IGNITION,首次追蹤:突破中｜狀態跳升｜具備點火條件,READY,9.0,一般,均線結構｜法人偏多,93.959,2026-08-29 05:50:47
4977,眾達-KY,WATCH,TEST,觀察,0,0,持續觀察,首次追蹤:觀察,NO,0.0,一般,,74.731,2026-08-29 05:50:47
4956,光鋐,WATCH,TEST,吸籌中,1,5,持續觀察,前狀態:nan→今日:吸籌中｜狀態升級,NO,8.0,一般,爆量不跌,90.303,2026-08-29 05:50:47
3583,辛耘,,TEST,觀察,0,0,持續觀察,前狀態:nan→今日:觀察,NO,6.0,一般,爆量不跌｜法人偏多｜籌碼風險,9.485,2026-08-29 05:50:47
3576,聯合再生,WATCH,TEST,吸籌中,1,5,持續觀察,首次追蹤:吸籌中｜狀態升級,NO,8.0,一般,爆量不跌,74.739,2026-08-29 05:50:47
1708,東鹼,WATCH,TEST,觀察,0,0,持續觀察,前狀態:nan→今日:觀察,NO,4.0,一般,法人偏多,75.324,2026-08-29 05:50:47
6168,宏齊,WATCH,TEST,觀察,0,0,持續觀察,前狀態:nan→今日:觀察,NO,0.0,一般,,87.687,2026-08-29 05:50:47
8422,可寧衛*,WATCH,TEST,觀察,0,0,持續觀察,首次追蹤:觀察,NO,0.0,一般,,65.936,2026-08-29 05:50:47
4976,佳凌,WATCH,TEST,突破中,4,13,準IGNITION,前狀態:nan→今日:突破中｜狀態跳升｜具備點火條件,READY,5.0,一般,均線結構,84.609,2026-08-29 05:50:47
2466,冠西電,WATCH,TEST,突破中,4,13,準IGNITION,前狀態:nan→今日:突破中｜狀態跳升｜具備點火條件,READY,5.0,一般,均線結構,87.458,2026-08-29 05:50:47
8215,明基材,TEST,TEST,試盤中,3,11,升級觀察,前狀態:nan→今日:試盤中｜狀態跳升｜狀態轉強,WATCH_UP,12.0,一般,爆量不跌｜法人偏多,95.603,2026-08-29 05:50:47
2402,毅嘉,WATCH,TEST,觀察,0,0,持續觀察,前狀態:nan→今日:觀察,NO,0.0,一般,,69.114,2026-08-29 05:50:47
4755,三福化,WATCH,TEST,吸籌中,1,5,持續觀察,首次追蹤:吸籌中｜狀態升級,NO,8.0,一般,爆量不跌,82.656,2026-08-29 05:50:47
