signal_date,trade_date,symbol,market,signal_close,mom_5d,std_5d,trade_ret,weight,wret
2026-01-21,2026-01-22,1541,TWSE,28.7,0.24782608695652164,0.05425516944988624,-0.06445993031358876,0.25,-0.01611498257839719
2026-01-21,2026-01-22,2337,TWSE,73.3,0.21963394342762066,0.05658925624804656,0.0013642564802183177,0.25,0.0003410641200545794
2026-01-22,2026-01-23,1514,TWSE,140.5,0.35096153846153855,0.03741496493567831,0.014234875444839812,0.16666666666666666,0.0023724792408066353
2026-01-22,2026-01-23,1529,TWSE,26.85,0.26650943396226423,0.015108898949863864,0.009310986964618184,0.16666666666666666,0.0015518311607696973
2026-01-22,2026-01-23,1513,TWSE,184.0,0.2185430463576159,0.040288308877818556,0.0,0.16666666666666666,0.0
2026-01-22,2026-01-23,1445,TWSE,14.6,0.18699186991869898,0.03897757532630185,-0.023972602739726012,0.16666666666666666,-0.003995433789954335
2026-01-22,2026-01-23,2351,TWSE,88.9,0.16973684210526319,0.022300507050218733,-0.04836895388076501,0.16666666666666666,-0.008061492313460834
2026-01-22,2026-01-23,2342,TWSE,38.95,0.1661676646706589,0.01418415351886976,-0.08729139922978191,0.16666666666666666,-0.014548566538296984
2026-01-23,2026-01-26,1514,TWSE,142.5,0.25,0.036950223396470146,-0.024561403508771895,0.5,-0.012280701754385948
2026-01-23,2026-01-26,1529,TWSE,27.1,0.2152466367713004,0.022763618565256966,-0.022140221402214055,0.5,-0.011070110701107028
2026-01-26,2026-01-27,1445,TWSE,14.6,0.18218623481781382,0.0432507885383201,-0.013698630136986245,0.5,-0.0068493150684931225
2026-01-26,2026-01-27,1529,TWSE,26.5,0.15973741794310725,0.0362526722132565,-0.04528301886792452,0.5,-0.02264150943396226
2026-01-28,2026-01-29,2313,TWSE,176.0,0.2179930795847751,0.0550935237000402,0.011363636363636465,0.3333333333333333,0.0037878787878788214
2026-01-28,2026-01-29,2383,TWSE,1900.0,0.21794871794871784,0.0446396888722746,-0.05789473684210522,0.3333333333333333,-0.01929824561403507
2026-01-28,2026-01-29,2368,TWSE,720.0,0.20805369127516782,0.010415779372102056,-0.03888888888888886,0.3333333333333333,-0.012962962962962954
2026-01-29,2026-01-30,2367,TWSE,50.4,0.2568578553615959,0.049318167915978844,0.02777777777777768,1.0,0.02777777777777768
2026-01-30,2026-02-02,2367,TWSE,51.8,0.17460317460317443,0.039943501536053756,-0.05019305019305009,1.0,-0.05019305019305009
2026-02-02,2026-02-03,1590,TWSE,1170.0,0.16417910447761197,0.03747733378687047,0.004273504273504258,1.0,0.004273504273504258
2026-02-10,2026-02-11,1466,TWSE,17.7,0.20819112627986347,0.03518897426215982,-0.016949152542372947,1.0,-0.016949152542372947
2026-02-11,2026-02-23,2383,TWSE,2195.0,0.18328840970350413,0.036088779305130644,-0.009111617312072884,1.0,-0.009111617312072884
2026-02-23,2026-02-24,1466,TWSE,17.8,0.17491749174917492,0.04185844848818693,-0.002808988764045006,1.0,-0.002808988764045006
2026-02-24,2026-02-25,2375,TWSE,95.6,0.17879161528976573,0.025510843705842477,0.0010460251046024993,0.5,0.0005230125523012497
2026-02-24,2026-02-25,2301,TWSE,193.5,0.17629179331306988,0.018152043542642597,-0.007751937984496138,0.5,-0.003875968992248069
2026-02-25,2026-02-26,2360,TWSE,1255.0,0.21844660194174748,0.03905782359314755,0.09960159362549792,0.25,0.02490039840637448
2026-02-25,2026-02-26,1727,TWSE,47.75,0.17466174661746625,0.04166415749623573,-0.0010471204188481353,0.25,-0.00026178010471203383
2026-02-25,2026-02-26,2383,TWSE,2420.0,0.16346153846153855,0.028934617209816552,0.008264462809917328,0.25,0.002066115702479332
