engine,signal_date,trade_date,symbol,market,signal_close,mom_5d,std_5d,trade_ret,weight_engine,weight_portfolio,wret
B,2026-01-23,2026-01-26,1445,TWSE,14.25,0.15853658536585358,0.04537819569711547,0.024561403508772006,0.16666666666666666,0.049999999999999996,0.0012280701754386002
B,2026-01-23,2026-01-26,1513,TWSE,184.0,0.1499999999999999,0.04216017841520045,-0.016304347826086918,0.16666666666666666,0.049999999999999996,-0.0008152173913043458
B,2026-01-23,2026-01-26,1526,TWSE,21.2,0.1336898395721926,0.07581641083737774,0.09905660377358494,0.16666666666666666,0.049999999999999996,0.004952830188679247
B,2026-01-26,2026-01-27,2313,TWSE,177.0,0.23344947735191646,0.0472949603858014,-0.04519774011299438,0.16666666666666666,0.049999999999999996,-0.002259887005649719
B,2026-01-26,2026-01-27,1445,TWSE,14.6,0.18218623481781382,0.0432507885383201,-0.013698630136986245,0.16666666666666666,0.049999999999999996,-0.0006849315068493121
B,2026-01-26,2026-01-27,1514,TWSE,139.0,0.15833333333333344,0.048033732567743126,-0.043165467625899234,0.16666666666666666,0.049999999999999996,-0.0021582733812949614
B,2026-01-26,2026-01-27,2351,TWSE,88.7,0.13282247765006394,0.044562221506672516,0.01014656144306647,0.16666666666666666,0.049999999999999996,0.0005073280721533235
B,2026-01-26,2026-01-27,1513,TWSE,181.0,0.12772585669781922,0.045875264868439625,-0.02209944751381221,0.16666666666666666,0.049999999999999996,-0.0011049723756906104
B,2026-01-26,2026-01-27,1802,TWSE,51.8,0.1273122959738846,0.06386391665246434,-0.007722007722007707,0.16666666666666666,0.049999999999999996,-0.0003861003861003853
B,2026-01-27,2026-01-28,2367,TWSE,50.1,0.33067729083665354,0.05100151502280385,-0.003992015968063978,0.25,0.075,-0.00029940119760479833
B,2026-01-27,2026-01-28,1455,TWSE,10.3,0.2842892768079801,0.05105457597836656,-0.0893203883495145,0.25,0.075,-0.006699029126213588
B,2026-01-27,2026-01-28,1444,TWSE,7.06,0.14424635332252822,0.043254187889073134,-0.03966005665722372,0.25,0.075,-0.002974504249291779
B,2026-01-27,2026-01-28,2383,TWSE,1820.0,0.12693498452012375,0.05563160264705869,0.04395604395604402,0.25,0.075,0.0032967032967033015
B,2026-01-28,2026-01-29,1471,TWSE,13.9,0.3830845771144278,0.06708462321912798,-0.08633093525179869,0.16666666666666666,0.049999999999999996,-0.004316546762589934
B,2026-01-28,2026-01-29,2367,TWSE,49.9,0.2230392156862746,0.05560686832259875,0.01002004008016022,0.16666666666666666,0.049999999999999996,0.0005010020040080109
B,2026-01-28,2026-01-29,2313,TWSE,176.0,0.2179930795847751,0.0550935237000402,0.011363636363636465,0.16666666666666666,0.049999999999999996,0.0005681818181818231
B,2026-01-28,2026-01-29,2383,TWSE,1900.0,0.21794871794871784,0.0446396888722746,-0.05789473684210522,0.16666666666666666,0.049999999999999996,-0.0028947368421052607
B,2026-01-28,2026-01-29,2365,TWSE,41.6,0.13972602739726026,0.04017975302579034,0.009615384615384581,0.16666666666666666,0.049999999999999996,0.000480769230769229
B,2026-01-28,2026-01-29,2351,TWSE,96.2,0.11860465116279073,0.0463335507772076,-0.04365904365904372,0.16666666666666666,0.049999999999999996,-0.0021829521829521857
B,2026-01-29,2026-01-30,2367,TWSE,50.4,0.2568578553615959,0.049318167915978844,0.02777777777777768,0.16666666666666666,0.049999999999999996,0.0013888888888888837
B,2026-01-29,2026-01-30,2344,TWSE,130.0,0.2440191387559809,0.05047783098252599,-0.011538461538461497,0.16666666666666666,0.049999999999999996,-0.0005769230769230748
B,2026-01-29,2026-01-30,2313,TWSE,178.0,0.144694533762058,0.052444512756894116,-0.050561797752809,0.16666666666666666,0.049999999999999996,-0.0025280898876404497
B,2026-01-29,2026-01-30,2365,TWSE,42.0,0.1428571428571428,0.03984815638305663,-0.0714285714285714,0.16666666666666666,0.049999999999999996,-0.0035714285714285696
B,2026-01-29,2026-01-30,2009,TWSE,54.9,0.1354705274043433,0.03467286928057465,-0.08743169398907102,0.16666666666666666,0.049999999999999996,-0.004371584699453551
B,2026-01-29,2026-01-30,1455,TWSE,9.05,0.1312500000000001,0.08576635999792608,-0.019889502762431066,0.16666666666666666,0.049999999999999996,-0.0009944751381215531
B,2026-01-30,2026-02-02,2344,TWSE,128.5,0.24757281553398047,0.04965058305542475,-0.09727626459143968,0.2,0.06,-0.0058365758754863805
B,2026-01-30,2026-02-02,2014,TWSE,19.75,0.19696969696969702,0.04346506207387438,0.010126582278481067,0.2,0.06,0.0006075949367088639
B,2026-01-30,2026-02-02,2367,TWSE,51.8,0.17460317460317443,0.039943501536053756,-0.05019305019305009,0.2,0.06,-0.0030115830115830054
B,2026-01-30,2026-02-02,2038,TWSE,16.55,0.11073825503355716,0.030830421256887865,0.0030211480362538623,0.2,0.06,0.00018126888217523174
B,2026-01-30,2026-02-02,2028,TWSE,20.1,0.10136986301369877,0.04686910930526585,-0.022388059701492713,0.2,0.06,-0.0013432835820895628
B,2026-02-02,2026-02-03,2014,TWSE,19.95,0.1700879765395893,0.04520383356978292,-0.02506265664160401,0.5,0.15,-0.0037593984962406013
B,2026-02-02,2026-02-03,1453,TWSE,13.4,0.1074380165289257,0.0742611475472023,-0.026119402985074647,0.5,0.15,-0.003917910447761197
B,2026-02-03,2026-02-05,2014,TWSE,19.45,0.16119402985074616,0.047353052068038234,-0.028277634961439646,0.5,0.15,-0.0042416452442159466
B,2026-02-03,2026-02-05,2368,TWSE,755.0,0.10058309037900881,0.0418246193653108,0.0066225165562914245,0.5,0.15,0.0009933774834437136
B,2026-02-05,2026-02-06,1590,TWSE,1245.0,0.21463414634146338,0.037560949528315984,-0.04016064257028118,0.5,0.15,-0.006024096385542177
B,2026-02-05,2026-02-06,2014,TWSE,18.9,0.10850439882697938,0.05455231943300224,-0.042328042328042215,0.5,0.15,-0.006349206349206332
B,2026-02-10,2026-02-11,1466,TWSE,17.7,0.20819112627986347,0.03518897426215982,-0.016949152542372947,0.25,0.075,-0.001271186440677971
B,2026-02-10,2026-02-11,2368,TWSE,846.0,0.19830028328611893,0.04142969834017523,-0.02009456264775411,0.25,0.075,-0.0015070921985815583
B,2026-02-10,2026-02-11,2383,TWSE,2105.0,0.17927170868347342,0.03592652575487265,0.04275534441805218,0.25,0.075,0.0032066508313539134
B,2026-02-10,2026-02-11,2301,TWSE,177.5,0.10591900311526481,0.03908555706298628,0.011267605633802802,0.25,0.075,0.0008450704225352101
B,2026-02-11,2026-02-23,2383,TWSE,2195.0,0.18328840970350413,0.036088779305130644,-0.009111617312072884,0.25,0.075,-0.0006833712984054662
B,2026-02-11,2026-02-23,1466,TWSE,17.4,0.17966101694915237,0.04164096207296121,0.02298850574712663,0.25,0.075,0.0017241379310344973
B,2026-02-11,2026-02-23,1340,TWSE,7.21,0.11093990755007699,0.031349534411343236,-0.01386962552011095,0.25,0.075,-0.0010402219140083213
B,2026-02-11,2026-02-23,2208,TWSE,23.5,0.10070257611241207,0.024006612812024538,0.019148936170212627,0.25,0.075,0.001436170212765947
B,2026-02-23,2026-02-24,2345,TWSE,1400.0,0.24444444444444446,0.04887225175562522,0.0035714285714285587,0.16666666666666666,0.049999999999999996,0.00017857142857142792
B,2026-02-23,2026-02-24,1466,TWSE,17.8,0.17491749174917492,0.04185844848818693,-0.002808988764045006,0.16666666666666666,0.049999999999999996,-0.0001404494382022503
B,2026-02-23,2026-02-24,1303,TWSE,83.6,0.12214765100671143,0.06280489728781934,0.0861244019138756,0.16666666666666666,0.049999999999999996,0.00430622009569378
B,2026-02-23,2026-02-24,2344,TWSE,115.0,0.12195121951219523,0.06829448001542923,0.0608695652173914,0.16666666666666666,0.049999999999999996,0.0030434782608695695
