engine,signal_date,trade_date,symbol,market,signal_close,mom_5d,std_5d,trade_ret,weight_engine,weight_portfolio,wret,capital_after_trade,cash_mode
B,2026-02-05,2026-02-06,1466,TWSE,15.15,0.04482758620689653,0.011143601074625722,0.09900990099009888,0.4078043607128647,0.03568288156237566,0.0035329585705322387,95607.00767830014,True
B,2026-02-05,2026-02-06,1590,TWSE,1245.0,0.21463414634146338,0.037560949528315984,-0.04016064257028118,0.24413264236687152,0.021361606207101258,-0.0008578958316104935,95607.00767830014,True
B,2026-02-05,2026-02-06,2206,TWSE,60.6,0.016778523489932917,0.0072987686169815325,0.0016501650165017256,0.20332765746527168,0.017791170028211272,2.935836638318826e-05,95607.00767830014,True
A,2026-02-06,2026-02-09,1342,TWSE,100.0,0.0604453870625663,0.018400460558839205,0.020000000000000018,0.14860063442871838,0.039007666537538566,0.000780153330750772,96198.25421287806,True
A,2026-02-06,2026-02-09,1445,TWSE,15.55,0.0761245674740485,0.034454462015425305,-0.019292604501607746,0.06722185249452022,0.017645736279811555,-0.0003404322111860755,96198.25421287806,True
A,2026-02-06,2026-02-09,1463,TWSE,18.0,0.034482758620689724,0.00843603706445458,0.002777777777777768,0.2300799183851494,0.060395978576101704,0.00016776660715583748,96198.25421287806,True
A,2026-02-06,2026-02-09,1466,TWSE,16.65,0.13651877133105783,0.04198093568600705,0.03603603603603611,0.14562376823981954,0.038226239162952626,0.0013775221319982957,96198.25421287806,True
A,2026-02-06,2026-02-09,1472,TWSE,90.0,0.032110091743119185,0.009779221098190266,0.01333333333333342,0.14846573934970153,0.03897225657929664,0.0005196300877239586,96198.25421287806,True
A,2026-02-06,2026-02-09,1590,TWSE,1195.0,0.14903846153846145,0.052071989821647714,0.01673640167364021,0.1128080586942812,0.029612115407248812,0.0004956002578619061,96198.25421287806,True
A,2026-02-06,2026-02-09,2368,TWSE,745.0,0.07658959537572252,0.032795611512115665,0.06979865771812088,0.0751034399025995,0.019714652974432364,0.0013760563149939383,96198.25421287806,True
A,2026-02-06,2026-02-09,2383,TWSE,1925.0,0.07541899441340782,0.03296091449966709,0.08051948051948044,0.07209658850521022,0.018925354482617684,0.0015238597115873962,96198.25421287806,True
B,2026-02-06,2026-02-09,1216,TWSE,74.2,0.024861878453038555,0.010034215463295009,-0.013477088948787075,0.13854463058229344,0.012122655175950675,-0.00016337810210176128,96198.25421287806,True
B,2026-02-06,2026-02-09,1463,TWSE,18.0,0.034482758620689724,0.00843603706445458,0.002777777777777768,0.44849812342411843,0.03924358579961036,0.00010900996055447283,96198.25421287806,True
B,2026-02-06,2026-02-09,1472,TWSE,90.0,0.032110091743119185,0.009779221098190266,0.01333333333333342,0.24965621504528174,0.021844918816462153,0.00029126558421949724,96198.25421287806,True
B,2026-02-06,2026-02-09,2206,TWSE,60.7,0.01675041876046901,0.007300369078421826,0.0032948929159801743,0.16330103094830653,0.014288840207976819,4.70801983788355e-05,96198.25421287806,True
A,2026-02-09,2026-02-10,1342,TWSE,102.0,0.09324758842443726,0.013450349753468552,0.004901960784313708,0.2178535031636087,0.13071210189816523,0.0006407455975400234,96750.12276906226,False
A,2026-02-09,2026-02-10,1463,TWSE,18.05,0.03438395415472795,0.00844737338397047,0.0,0.0750973657875717,0.04505841947254302,0.0,96750.12276906226,False
A,2026-02-09,2026-02-10,1466,TWSE,17.25,0.1774744027303754,0.03928107538505583,0.02608695652173898,0.09252545655517826,0.05551527393310695,0.0014482245373853904,96750.12276906226,False
A,2026-02-09,2026-02-10,1472,TWSE,91.2,0.04948216340621392,0.008339788299724446,-0.006578947368421129,0.15956724656080845,0.09574034793648507,-0.0006298707101084617,96750.12276906226,False
A,2026-02-09,2026-02-10,1476,TWSE,424.0,0.06801007556675054,0.010692718462950163,0.011792452830188704,0.18336933893007068,0.11002160335804242,0.0012974245679014465,96750.12276906226,False
A,2026-02-09,2026-02-10,2368,TWSE,797.0,0.1369472182596292,0.04069266054041062,0.06148055207026348,0.05133703565303448,0.030802221391820685,0.0018937375761596154,96750.12276906226,False
A,2026-02-09,2026-02-10,2383,TWSE,2080.0,0.1919770773638969,0.034561530599207836,0.012019230769230838,0.139852212460629,0.0839113274763774,0.0010085496090910804,96750.12276906226,False
A,2026-02-09,2026-02-10,2387,TWSE,39.3,0.04521276595744661,0.010735372493074736,-0.008905852417302684,0.08039784088909868,0.04823870453345921,-0.00042960678337685765,96750.12276906226,False
B,2026-02-09,2026-02-10,1342,TWSE,102.0,0.09324758842443726,0.013450349753468552,0.004901960784313708,0.2639252879902076,0.05278505759804152,0.00025875028234333987,96750.12276906226,False
B,2026-02-09,2026-02-10,1463,TWSE,18.05,0.03438395415472795,0.00844737338397047,0.0,0.14486151641148465,0.028972303282296934,0.0,96750.12276906226,False
B,2026-02-09,2026-02-10,1472,TWSE,91.2,0.04948216340621392,0.008339788299724446,-0.006578947368421129,0.31177316985541564,0.06235463397108314,-0.0004102278550729201,96750.12276906226,False
B,2026-02-09,2026-02-10,1476,TWSE,424.0,0.06801007556675054,0.010692718462950163,0.011792452830188704,0.2794400257428921,0.05588800514857843,0.0006590566644879547,96750.12276906226,False
A,2026-02-10,2026-02-11,1342,TWSE,102.5,0.09158679446219375,0.013793860728521621,-0.019512195121951237,0.1252565523829419,0.07515393142976513,-0.001466418174239321,96445.06406258157,False
A,2026-02-10,2026-02-11,1466,TWSE,17.7,0.20819112627986347,0.03518897426215982,-0.016949152542372947,0.09945294816707036,0.059671768900242214,-0.0010113859135634313,96445.06406258157,False
A,2026-02-10,2026-02-11,1476,TWSE,429.0,0.08333333333333326,0.006493237419028204,-0.006993006993006978,0.4679735216882861,0.2807841130129716,-0.001963525265824972,96445.06406258157,False
A,2026-02-10,2026-02-11,2103,TWSE,16.2,0.1095890410958904,0.026848365774144324,0.0030864197530864335,0.04733746335983736,0.028402478015902417,8.766196918488439e-05,96445.06406258157,False
A,2026-02-10,2026-02-11,2345,TWSE,1390.0,0.2192982456140351,0.0555792867721826,0.043165467625899234,0.04423345194671636,0.026540071168029818,0.0011456145827926528,96445.06406258157,False
A,2026-02-10,2026-02-11,2368,TWSE,846.0,0.19830028328611893,0.04142969834017523,-0.02009456264775411,0.06509229416552591,0.03905537649931554,-0.0007848007097971198,96445.06406258157,False
A,2026-02-10,2026-02-11,2383,TWSE,2105.0,0.17927170868347342,0.03592652575487265,0.04275534441805218,0.07074561423859568,0.04244736854315741,0.0018148518617026885,96445.06406258157,False
A,2026-02-10,2026-02-11,2385,TWSE,120.0,0.034482758620689724,0.006502189499334015,-0.004166666666666652,0.07990815405102632,0.04794489243061579,-0.00019977038512756509,96445.06406258157,False
B,2026-02-10,2026-02-11,1232,TWSE,148.0,0.020689655172413834,0.004442570716481604,0.010135135135135087,0.12558354868885752,0.025116709737771505,0.00025456124734227756,96445.06406258157,False
B,2026-02-10,2026-02-11,1310,TWSE,9.02,0.019209039548022666,0.004410265942957174,-0.0011086474501108556,0.11064868533272049,0.0221297370665441,-2.4534076570447803e-05,96445.06406258157,False
B,2026-02-10,2026-02-11,1476,TWSE,429.0,0.08333333333333326,0.006493237419028204,-0.006993006993006978,0.6525038029330709,0.13050076058661417,-0.0009125927313749224,96445.06406258157,False
B,2026-02-10,2026-02-11,2385,TWSE,120.0,0.034482758620689724,0.006502189499334015,-0.004166666666666652,0.11126396304535106,0.022252792609070215,-9.27199692044589e-05,96445.06406258157,False
A,2026-02-11,2026-02-23,1414,TWSE,19.9,0.039164490861618884,0.009076511628895386,-0.002512562814070196,0.10896017121459745,0.06537610272875846,-0.00016426156464511158,97865.55215529136,False
A,2026-02-11,2026-02-23,1466,TWSE,17.4,0.17966101694915237,0.04164096207296121,0.02298850574712663,0.1089399109498449,0.06536394656990693,0.0015026194613771836,97865.55215529136,False
A,2026-02-11,2026-02-23,1476,TWSE,426.0,0.047970479704797064,0.00965030871511142,0.02699530516431925,0.1446060484956289,0.08676362909737735,0.0023422106446475107,97865.55215529136,False
